individual_tree_id;species_id;method;year_monitored;branching;canopy_size;height;health;years_after_planting
1519;285;PowerCoat;2018;NA;nan;60;NA;0
1517;285;Mycorrhiza;2018;NA;nan;26;NA;0
1523;282;Mycorrhiza;2018;NA;nan;54;NA;0
1533;283;Mycorrhiza;2018;NA;nan;20;NA;0
1542;284;Mycorrhiza;2018;NA;nan;74;NA;0
1544;281;Mycorrhiza;2018;NA;nan;48;NA;0
1551;284;Mycorrhiza;2018;NA;nan;26;NA;0
1550;285;Mycorrhiza;2018;NA;nan;28;NA;0
1549;285;Mycorrhiza;2018;NA;nan;22;NA;0
1563;285;Mycorrhiza;2018;NA;nan;34;NA;0
1562;283;Mycorrhiza;2018;NA;nan;32;NA;0
1561;282;Mycorrhiza;2018;NA;nan;46;NA;0
862;285;PowerCoat;2018;1;nan;156;NA;0
867;285;PowerCoat;2018;1;nan;30;NA;0
869;280;Mycorrhiza;2018;1;nan;36;NA;0
884;281;PowerCoat;2018;1;nan;72;NA;0
898;285;Fencing;2018;NA;nan;38;NA;0
1505;280;PowerCoat;2018;NA;nan;56;3;0
1506;280;PowerCoat;2018;NA;nan;28;2;0
1507;284;Mycorrhiza;2018;NA;nan;24;2;0
1501;284;Mycorrhiza;2018;NA;nan;30;2;0
1497;284;PowerCoat;2018;NA;nan;48;3;0
1499;284;PowerCoat;2018;NA;nan;48;3;0
1500;285;PowerCoat;2018;NA;nan;38;3;0
1493;282;PowerCoat;2018;NA;nan;46;3;0
1494;285;PowerCoat;2018;NA;nan;34;2;0
1495;280;PowerCoat;2018;NA;nan;34;3;0
1484;285;PowerCoat;2018;NA;nan;30;2;0
1483;283;PowerCoat;2018;NA;nan;58;2;0
1496;283;PowerCoat;2018;NA;nan;54;3;0
1489;285;PowerCoat;2018;NA;nan;42;3;0
1481;285;PowerCoat;2018;NA;nan;52;3;0
1490;285;PowerCoat;2018;NA;nan;50;3;0
1491;283;PowerCoat;2018;NA;nan;44;3;0
1488;282;PowerCoat;2018;NA;nan;52;3;0
1487;280;PowerCoat;2018;NA;nan;48;3;0
1492;283;PowerCoat;2018;NA;nan;50;3;0
1486;283;PowerCoat;2018;NA;nan;32;3;0
1509;285;PowerCoat;2018;NA;nan;38;3;0
1515;285;Mycorrhiza;2018;NA;nan;24;3;0
1513;284;Mycorrhiza;2018;NA;nan;38;3;0
1512;284;Mycorrhiza;2018;NA;nan;34;3;0
1516;285;Mycorrhiza;2018;NA;nan;30;3;0
1043;282;Mycorrhiza;2018;NA;nan;44;2;0
1044;283;Mycorrhiza;2018;NA;nan;36;2;0
1045;285;Mycorrhiza;2018;NA;nan;40;3;0
1058;284;Mycorrhiza;2018;NA;nan;78;2;0
1057;282;Mycorrhiza;2018;NA;nan;32;2;0
1047;283;Mycorrhiza;2018;NA;nan;34;3;0
1054;283;Mycorrhiza;2018;NA;nan;40;3;0
1051;283;Mycorrhiza;2018;NA;nan;28;3;0
30682;285;Mycorrhiza;2018;NA;nan;32;3;0
30681;280;Mycorrhiza;2018;NA;nan;14;3;0
1024;284;Mycorrhiza;2018;NA;nan;64;NA;0
1027;285;Mycorrhiza;2018;NA;nan;16;3;0
30674;280;Mycorrhiza;2018;NA;nan;34;3;0
1032;285;Mycorrhiza;2018;NA;nan;20;2;0
1038;285;Mycorrhiza;2018;NA;nan;20;3;0
1037;285;Mycorrhiza;2018;NA;nan;28;3;0
1036;285;Mycorrhiza;2018;NA;nan;16;0;0
1545;285;Mycorrhiza;2018;NA;nan;32;3;0
1548;280;Mycorrhiza;2018;NA;nan;42;2;0
1560;285;Mycorrhiza;2018;NA;nan;30;2;0
1556;284;Mycorrhiza;2018;NA;nan;42;3;0
1557;282;Mycorrhiza;2018;NA;nan;28;2;0
1558;283;Mycorrhiza;2018;NA;nan;26;3;0
1522;285;Mycorrhiza;2018;NA;nan;18;1;0
1521;285;Mycorrhiza;2018;NA;nan;46;3;0
1520;284;Mycorrhiza;2018;NA;nan;74;3;0
1527;280;Mycorrhiza;2018;NA;nan;22;3;0
1525;282;Mycorrhiza;2018;NA;nan;28;3;0
1524;285;Mycorrhiza;2018;NA;nan;16;2;0
1531;282;Mycorrhiza;2018;NA;nan;38;3;0
1530;283;Mycorrhiza;2018;NA;nan;44;3;0
1528;282;Mycorrhiza;2018;NA;nan;20;3;0
1535;283;Mycorrhiza;2018;NA;nan;28;3;0
1538;282;Mycorrhiza;2018;NA;nan;50;2;0
1537;280;Mycorrhiza;2018;NA;nan;46;3;0
1536;285;Mycorrhiza;2018;NA;nan;28;3;0
1543;284;Mycorrhiza;2018;NA;nan;36;3;0
1541;282;Mycorrhiza;2018;NA;nan;44;3;0
1547;283;Mycorrhiza;2018;NA;nan;26;1;0
962;285;Mycorrhiza;2018;NA;nan;30;2;0
1304;283;PowerCoat;2018;NA;nan;58;3;0
1305;285;PowerCoat;2018;NA;nan;24;2;0
1306;283;PowerCoat;2018;NA;nan;60;3;0
1300;285;PowerCoat;2018;NA;nan;24;NA;0
1301;283;PowerCoat;2018;NA;nan;66;2;0
1302;283;PowerCoat;2018;NA;nan;58;3;0
1303;285;PowerCoat;2018;NA;nan;26;3;0
1297;283;PowerCoat;2018;NA;nan;46;3;0
1288;283;PowerCoat;2018;NA;nan;64;2;0
1289;285;PowerCoat;2018;NA;nan;18;2;0
1290;283;PowerCoat;2018;NA;nan;28;2;0
1291;280;PowerCoat;2018;NA;nan;36;3;0
1284;283;PowerCoat;2018;NA;nan;38;3;0
1287;280;PowerCoat;2018;NA;nan;50;3;0
1281;280;PowerCoat;2018;NA;nan;54;2;0
1282;285;PowerCoat;2018;NA;nan;24;3;0
1276;283;PowerCoat;2018;NA;nan;28;3;0
1277;285;PowerCoat;2018;NA;nan;20;3;0
1279;283;PowerCoat;2018;NA;nan;42;3;0
1272;285;PowerCoat;2018;NA;nan;24;3;0
1273;283;PowerCoat;2018;NA;nan;50;3;0
1274;285;PowerCoat;2018;NA;nan;26;3;0
1275;283;PowerCoat;2018;NA;nan;42;3;0
1269;283;PowerCoat;2018;NA;nan;36;3;0
1270;285;PowerCoat;2018;NA;nan;30;3;0
1295;280;PowerCoat;2018;NA;nan;44;2;0
1294;283;PowerCoat;2018;NA;nan;28;3;0
1293;285;PowerCoat;2018;NA;nan;24;3;0
1292;283;PowerCoat;2018;NA;nan;38;3;0
1199;283;PowerCoat;2018;NA;nan;48;3;0
1206;280;PowerCoat;2018;NA;nan;50;2;0
1205;283;PowerCoat;2018;NA;nan;40;3;0
1200;285;PowerCoat;2018;NA;nan;30;2;0
1196;283;PowerCoat;2018;NA;nan;42;3;0
1197;285;PowerCoat;2018;NA;nan;24;3;0
1202;283;PowerCoat;2018;NA;nan;40;3;0
1191;280;PowerCoat;2018;NA;nan;64;2;0
1192;280;PowerCoat;2018;NA;nan;32;3;0
1194;283;PowerCoat;2018;NA;nan;46;3;0
1187;280;PowerCoat;2018;NA;nan;24;3;0
1188;283;PowerCoat;2018;NA;nan;48;2;0
1189;283;PowerCoat;2018;NA;nan;36;3;0
1190;280;PowerCoat;2018;NA;nan;46;3;0
1227;280;PowerCoat;2018;NA;nan;40;3;0
1222;283;PowerCoat;2018;NA;nan;40;2;0
1223;285;PowerCoat;2018;NA;nan;36;3;0
1224;283;PowerCoat;2018;NA;nan;28;3;0
1213;283;PowerCoat;2018;NA;nan;32;3;0
1212;285;PowerCoat;2018;NA;nan;32;3;0
1210;285;PowerCoat;2018;NA;nan;24;2;0
1218;283;PowerCoat;2018;NA;nan;40;3;0
1219;283;PowerCoat;2018;NA;nan;32;3;0
1220;285;PowerCoat;2018;NA;nan;38;3;0
1214;283;PowerCoat;2018;NA;nan;40;3;0
1215;285;PowerCoat;2018;NA;nan;34;3;0
1271;283;PowerCoat;2018;NA;nan;66;3;0
1266;283;PowerCoat;2018;NA;nan;34;NA;0
